date,region,product,units,revenue
2026-07-01,north,starter,12,359.88
2026-07-01,south,pro,8,639.20
2026-07-01,west,enterprise,3,1497.00
2026-07-02,north,pro,10,798.50
2026-07-02,east,starter,15,449.85
2026-07-02,south,enterprise,2,998.00
2026-07-03,west,starter,9,269.91
2026-07-03,east,pro,11,877.85
2026-07-03,north,enterprise,1,499.00
2026-07-04,south,starter,14,419.86
2026-07-04,west,pro,7,558.95
2026-07-04,east,enterprise,4,1996.00
2026-07-05,north,starter,6,179.94
2026-07-05,south,pro,9,718.65
2026-07-05,west,enterprise,5,2495.00
2026-07-06,east,starter,18,539.82
2026-07-06,north,pro,12,958.20
2026-07-06,south,enterprise,3,1497.00
2026-07-07,west,starter,10,299.90
2026-07-07,east,pro,13,1037.15
2026-07-07,north,enterprise,2,998.00
2026-07-08,south,starter,16,479.84
2026-07-08,west,pro,6,478.80
2026-07-08,east,enterprise,6,2994.00
2026-07-09,north,starter,11,329.89
2026-07-09,south,pro,14,1117.90
2026-07-09,west,enterprise,4,1996.00
2026-07-10,east,starter,20,599.80
2026-07-10,north,pro,9,718.65
2026-07-10,south,enterprise,5,2495.00
2026-07-11,west,starter,13,389.87
2026-07-11,east,pro,15,1197.75
2026-07-11,north,enterprise,3,1497.00
2026-07-12,south,starter,17,509.83
2026-07-12,west,pro,11,877.85
2026-07-12,east,enterprise,7,3493.00
2026-07-13,north,starter,8,239.92
2026-07-13,south,pro,16,1277.60
2026-07-13,west,enterprise,6,2994.00
2026-07-14,east,starter,22,659.78
2026-07-14,north,pro,13,1037.15
2026-07-14,south,enterprise,8,3992.00
